Title,Matthew,Mark,Luke,John,Matthew Page,Mark Page,Luke Page,John Page,Page
Jerusalem Temple Controversies and Teaching,21:19-25,,20:1-47,,186,,186-194,,186
Parables of Two Sons and Wicked Tenants,21:26-46,12:1-10,,,187-189,187-188,,,187
Taxes to Caesar and Question on Resurrection,,12:11-24,,,,189-191,,,189
Controversies over Taxes; Resurrection; Commandments,22:15-34,,,,190-192,,,,190
God of the Living and the Resurrection,,12:25-27,,,,192,,,192
David's Son and Warning Against Scribes,22:41-46,12:35-40,,,193,193-194,,,193
The Widow's Mite and Olivet Discourse Foretold,24:1,12:41-44,21:1-36,,197,197,197-202,,197
Destruction of Temple and Beginning of Birth Pains,24:2-9,13:2-9,,,198,198,,,198
Tribulation; Persecution; Abomination of Desolation,24:10-16,13:10,,,199,199,,,199
The Great Tribulation and Exhortation to Watchfulness,24:19-25,13:17-37,,,200,200-202,,,200
Coming of Son of Man and Unknown Day or Hour,24:30-36,,,,201,,,,201
Exhortation to Keep Watch,24:42,,,,202,,,,202
Parable of the Ten Virgins,25:1-13,,,,203-204,,,,203
The Judgment of the Sheep and the Goats,25:31-46,,,,206-207,,,,206
Daily Teaching in the Temple,,,21:37-38,,,,207,,207
Plot Against Jesus; Anointing at Bethany; Passover Prep,26:1-20,14:1-7,22:1-16,12:2-8,208-210,208,208-210,208,208
Preparation for the Passover Meal,,14:8-15,,,,209,,,209
Washing Disciples' Feet and Upper Room Discourse,,14:16-17,,13:1-38,,210,,210-215,210
Identification of Betrayer and Peter's Denial Foretold,26:21-35,14:18-20,22:21,,212-215,212,212,,212
Woe to the Betrayer of the Son of Man,,14:21,22:22,,,213,213,,213
Institution of the Lord's Supper,,14:22-31,22:17-20,,,214-215,214,,214
Jesus Prays for Peter and the Two Swords,,,22:31-37,,,,215,,215
Farewell Discourse in the Upper Room,,,22:38,14:1-31,,,216,216-218,216
The True Vine and Love Commandment,,,,15:1-27,,,,218-221,218
Promise of the Holy Spirit and Overcoming the World,,,,16:1-33,,,,221-224,221
The High Priestly Prayer of Jesus,,,,17:1-26,,,,224-226,224
Gethsemane; Betrayal; Arrest; Trial Before Caiaphas,26:36-72,14:32-72,22:40-55,18:1-27,226-232,226-233,226-230,226-232,226
Peter's Denials and Sanhedrin Hearing,,,22:56-71,,,,232-233,,232
Peter's Remorse and Morning Trial,26:73-75,15:1,,,233,233,,,233
Death of Judas and Trial Before Pilate,27:2-10,,23:1-25,18:28-39,234,,234-238,234-237,234
Jesus Interrogated by Pilate,27:11,15:2,,,235,235,,,235
Condemnation; Mockery; Crucifixion,27:12-37,15:3-5,,,236-242,236,,,236
Pilate Delivers Jesus and Crucifixion,,15:6-24,,,,237-242,,,237
Choice of Barabbas Over Jesus,,,,18:40,,,,238,238
The Road to Golgotha and Daughters of Jerusalem,,,23:26-33,,,,240-241,,240
Crucifixion Between Two Robbers,27:38,15:25,,,241,241,,,241
Death of Jesus; Burial; Guard at the Tomb,27:39-66,15:26,23:34-37,,242-247,242,242-243,,242
The Repentant Thief on the Cross,,,23:39-43,,,,243,,243
Death and Burial of Jesus,,,23:44-56,,,,244-247,,244
Early Morning Visit to the Tomb,28:1,16:1,24:1,20:1,247,247,247,247,247
The Angel Announces the Resurrection,28:2-6,16:2-6,24:2-7,20:2,248,248,248,248,248
Peter & John at Tomb; Appearance to Mary Magdalene,28:7-8,16:7-8,24:8,20:3-17,249,249,"249, 251",249-250,249
Appearance of Jesus to Mary Magdalene and Women,28:9,16:9,,,250,250,,,250
The Guard's Report and Announcement to Disciples,28:10-15,16:10-12,24:10-11,20:18,251,251,251,251,251
The Road to Emmaus and Appearance in Jerusalem,,,24:14-44,,,,252-254,,252
Jesus Appears to the Eleven and Rebukes Unbelief,,16:13-14,,,,253-254,,,253
Jesus Appears to Disciples and Thomas Confesses,,,,20:19-31,,,,254-255,254
Appearance at Sea of Galilee; Restoration of Peter,,,,21:1-25,,,,256-258,256
The Great Commission and Ascension,28:16-20,16:15-20,24:45-53,,259,259-260,259-260,,259
